0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
80.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,45.77708124295562,42.900282984311794,,,,,,,
75.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,40.49912290772008,39.31641040151825,39.64611768084336,,,,,,
70.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,37.08787029441287,37.31519795283074,37.19039817008018,38.519297112608925,,,,,
65.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,36.89497168088975,34.36486090766726,34.545704991916594,35.36761054710013,36.66007793211256,37.7423344917808,,,,
60.0,-1.0,-1.0,-1.0,-1.0,-1.0,36.015040972523494,33.24120298459334,32.01017276351369,33.00561802237869,33.77104518010085,34.678205164124144,36.465446660599646,37.78290448496261,,,
55.0,-1.0,-1.0,-1.0,-1.0,-1.0,30.902591853290588,30.200397040163825,29.517405514802835,30.986923204877144,31.59627482668613,33.86470033920191,35.33486428922552,36.63498554982757,38.41062880665644,,
50.0,-1.0,-1.0,-1.0,-1.0,-1.0,27.63823499588981,27.392016595571118,28.01344896119792,29.029592257743715,30.484885167782583,31.62159398467444,33.65727288161043,35.078053266733576,37.29452150670605,39.46177268691775,
45.0,-1.0,-1.0,-1.0,-1.0,28.02968967480963,24.831741669467007,25.09879143646904,26.33524003735597,27.402229412410342,28.5133391127015,31.09445627022568,32.721672135790136,34.80925591333078,37.76445711726501,39.5786854944878,43.36518582029967
40.0,-1.0,-1.0,-1.0,28.914412823448803,23.533244299006476,21.99947893732462,23.476683890411078,24.025853056047914,26.21514228853905,28.39354172071712,29.887601475285592,32.08158751997665,34.12442674351245,37.30080164076858,40.07248447549129,44.61437613988771
35.0,-1.0,-1.0,-1.0,21.52943407032308,20.31353033841541,20.663154705619643,22.00900115918131,23.468281385557468,25.213553141958805,27.23240935950089,29.903051242713712,33.82550383647119,36.56567849439041,41.5451642273147,-1.0,-1.0
30.0,-1.0,-1.0,-1.0,17.72233412620693,17.886305919650162,18.67906372635395,20.85966281725947,22.462749141574665,24.529977738349647,27.050180604279625,30.726057589623544,36.04840076793538,-1.0,-1.0,-1.0,-1.0
25.0,-1.0,-1.0,19.55596033481167,15.353792340768823,16.25843970337899,18.017225212060605,20.463904989227878,23.41210112494724,27.77775840035793,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
20.0,-1.0,-1.0,13.689438461332358,13.336764863169607,15.374484377029953,17.931734154056326,21.477473646988106,29.21460490177423,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
15.0,-1.0,12.763511365637603,11.611475603772382,13.610749460352055,19.25250471042172,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10.0,-1.0,9.23698724548729,12.736279201452168,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5.0,35.935786111546506,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0.0,5.0,10.0,15.0,20.0,25.0,30.0,35.0,40.0,45.0,50.0,55.0,60.0,65.0,70.0,75.0,80.0
